time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9000,12000.0,150.0,0,0.0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,39536,184027,0.268,38957,3717,138006.51603690936,0.9769989139938484,1344.627437005434,0.14281000000000002,0.04,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9040,12000.0,150.0,0,0.0,0,0,0,0.0262307215,0.5,151419.81489993088,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,459.9076427198145,892425.0,0.30975,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,33772.683885706305,37.909950247875,0.1991,80011.73913043478,0.052461443,0.8694801044358957,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.28019103941043727,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,859774144.0,170218357.55466664,23643788.959999997,945.7515584,665911997.4853333,95098.89236088046,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,41017,195008,0.268,40195,3637,148770.58780094847,0.9752049020331752,1429.9442396780626,0.14281000000000005,0.04,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9080,12000.0,150.0,0,0.0,0,0,0,0.06685528889931398,0.5,158416.0376120945,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,464.55238816699375,892425.0,0.3030833333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,35522.46561276345,99.15708695771384,0.1991,84786.08695652174,0.068275126,0.8671496161920973,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.2890951261417082,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.10798138453209681,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,62824.72518885398,4731800.0,10340028.717,0.6,911077376.0,179037466.29552966,31626637.491571866,1265.0654996628748,700413272.2128985,100026.01940472407,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9118629010679,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.0719576299118198,1035,3389,841,129.50819377558443,-339.7958373693404,3927.747582495062,12830.936810903717,182685.9340695378,22814900.0,0.9999995202824673,1.0451633961542335,0.0284,0.0145,0.00844,264.89052493119596,2.0,1.4131116260776244,18268.31206422041,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3024465043104978,2.6,0.0672,42017.117747706936,2.3,120938.08835403403,2.8783051964727915,0.3262232521552489,80,0.662,80,0.0215
2024,2071,2021,1,1,42416,206307,0.268,41321,3531,158151.3864792726,0.973641435586788,1521.138868022646,0.14281000000000002,0.04000000000000001,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9120,12000.0,150.0,0,0.0,0,0,0,0.0432063593282503,0.5,163790.21656540412,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,469.438490813415,892425.0,0.29425,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01595008616412515,61.1,0.65,0.00113,0.0638003446565006,3.91210447011552,36677.15173359687,68.36615848071708,0.1991,89698.69565217392,0.022612374,0.8564224446706448,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.2971936735241081,139037.28,20,1737.9660000000001,1.4,0.047686442201371596,0.10099452978596643,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,66831.34491386847,4731800.0,10340028.717,0.6,963866304.0,184857222.15634885,55828316.712661035,2233.132668506442,723180765.13099,103277.4450683567,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.4100356992294,831.7282151619276,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07081447725285606,1035,3389,841,139.75977501735574,-355.7237490766735,4111.860540402407,13024.166657504124,191249.3274605771,22814900.0,0.999999527903485,1.0134001405566906,0.0284,0.0145,0.00844,281.7838037950255,2.0,1.4153813040661714,19433.365778967276,0.0103,0.001462,0,0.9821331459244127,74895.58207451503,0.973199718886619,0.0,1.3115252162646853,2.6,0.0672,44696.741291624734,2.3,126607.05477890205,2.832579090114242,0.33076260813234265,80,0.662,80,0.0215
2025,2071,2021,1,1,42732,220600,0.268,40988,3016,169320.66635593277,0.9717798889406779,1617.8141034592566,0.14281000000000005,0.04,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9160,12000.0,150.0,0,0.0,0,0,0,0.0328551136303356,0.5,170697.3543761855,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,480.43695784877815,892425.0,0.25133333333333335,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0159436420651678,61.1,0.65,0.00113,0.0637745682606712,3.91210447011552,38176.35152277061,54.23338396195908,0.1991,95913.04347826088,0.001935659,0.8543158434233172,2.3,0.18669251203842283,0.7303606108826094,0.7789,0.022,0.08294687707896777,20,80,0.29479863242433973,139037.28,20,1737.9660000000001,1.4,0.04584448982443837,0.0965788418241069,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,71093.48697974725,4731800.0,10340028.717,0.6,1030643200.0,192413368.02331862,85488634.82267399,3419.54539290696,752741197.1540073,107498.97036556381,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3993.8110581916694,869.7557188870004,1211.6717074718629,2.40354609929078,0.7340425531914894,1650.683195686306,0.5964539007092199,-0.06954739244651156,1035,3389,841,151.06624452998517,-371.6389922812001,4295.827061314945,13102.514418864543,199805.90982860213,22814900.0,0.999999536350717,0.9758369194711201,0.0284,0.0145,0.00844,299.754452226326,2.0,1.4177992236524855,20672.720843194897,0.0103,0.001462,0,1.02416308052888,75035.34184953239,1.0422853909255398,0.0,1.321196894609942,2.6,0.0672,47547.25793934826,2.3,132271.51230653463,2.7818956978604623,0.335598447304971,80,0.662,80,0.0215
2026,2071,2021,1,1,43443,233679,0.268,41228,2736,179297.42894050886,0.9701170951765818,1721.1397810837568,0.14281000000000002,0.04,94,400000,2.0,0,18.489,75,0.05,40,0,0.0,0,9200,12000.0,150.0,0,0.1,0,0,0,0.036320342328140715,0.5,176141.30982017153,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,488.2836983621997,892425.0,0.228,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01594364916407036,61.1,0.65,0.00113,0.06377459665628143,3.91210447011552,39238.00441714123,61.923153813747774,0.1991,101599.56521739131,0.008866088,0.8458533390736009,2.3,0.18114452524724026,0.7086563069566824,0.7789,0.022,0.11019916779607741,20,80,0.2965247881719205,139037.28,20,1737.9660000000001,1.4,0.04417958925945241,0.09325739530069396,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,75626.2941203373,4731800.0,10340028.717,0.6,1091748288.0,197764225.31924734,120309752.78039224,4812.39011121569,773674309.9003605,110488.4281968705,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4125.028186429685,900.7328558679454,1251.4813191035137,2.40354609929078,0.7340425531914894,1704.916579648265,0.5964539007092199,-0.06813898687702975,1035,3389,841,163.07572722816607,-387.3281822405993,4477.180601168216,13080.625420913742,208240.95819387052,22814900.0,0.9999995457400875,0.9347452783193027,0.0284,0.0145,0.00844,318.8663171692035,2.0,1.4203749542421666,21990.78049442783,0.0103,0.001462,0,1.0652547216806973,75186.40809406237,1.1141957629412205,0.0,1.3314998169686665,2.6,0.0672,50578.795137184,2.3,137855.51432434228,2.72555947508119,0.3407499084843333,80,0.662,80,0.0215
2027,2071,2021,1,1,44290,246126,0.268,41677,2548,187102.05831083166,0.9688163236148614,1831.9686653587762,0.14281,0.039999999999999994,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9240,12600.0,157.5,0,0.0,0,0,0,0.03627328662767388,0.5,179123.52074809218,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,494.7558513911088,937046.25,0.20222222222222222,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01593960056383694,61.1,0.65,0.00113,0.06375840225534776,3.91210447011552,39469.028211223085,64.08908407703052,0.1991,107011.3043478261,0.008788171,0.8275244451475339,2.3,0.1729963445174122,0.676779772700213,0.7789,0.022,0.15022388278237492,20,80,0.2997541378830196,139037.28,20,1737.9660000000001,1.4,0.04268744741745287,0.0897244927508961,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,80448.71256273946,4731800.0,10340028.717,0.6,1149900672.0,198928612.8141158,172742543.76190215,6909.701750476086,778229515.4239821,111138.95709769889,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4274.843469046283,936.1992185702388,1296.9355490306266,2.40354609929078,0.7340425531914894,1766.8397334620129,0.5964539007092199,-0.06658172224297354,1035,3389,841,175.03407270217565,-402.61015918635843,4653.827108874571,13020.221415213724,216457.07483137544,22814900.0,0.9999995561218518,0.8951122573520947,0.0284,0.0145,0.00844,339.19928239596453,2.0,1.4231193873821633,23393.05395834238,0.0103,0.001462,0,1.1048877426479053,75349.48382129053,1.1835535496338345,0.0,1.342477549528653,2.6,0.0672,53804.024104187476,2.3,143294.58353837056,2.6632688897189416,0.3462387747643265,80,0.662,80,0.0215
2028,2071,2021,1,1,44873,258823,0.268,41820,2329,192841.47914632986,0.9678597534756117,1950.947298993079,0.14281000000000002,0.04,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9280,12600.0,157.5,0,0.0,0,0,0,0.03623901870065585,0.5,179729.3076755813,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,501.7975585825972,937046.25,0.18484126984126983,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.015941606350327927,61.1,0.65,0.00113,0.06376642540131171,3.91210447011552,38843.65288107993,66.3510636583671,0.1991,112531.7391304348,0.008711612,0.8008583003096746,2.3,0.16190310740969446,0.6333818702230589,0.7789,0.022,0.2047150223672466,20,80,0.30078263901595315,139037.28,20,1737.9660000000001,1.4,0.041350879959370784,0.08630834421082831,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,85582.34647074855,4731800.0,10340028.717,0.6,1209221056.0000002,195776646.5116322,247545715.5259856,9901.828621039425,765898693.9623824,109377.99248476785,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4429.909763939727,973.2546808546153,1343.979663938234,2.40354609929078,0.7340425531914894,1830.9288175390434,0.5964539007092199,-0.0648905370593049,1035,3389,841,186.91135799158764,-417.42279770006263,4825.048468038357,12926.24045868287,224420.85897852824,22814900.0,0.9999995673964196,0.8571166371045811,0.0284,0.0145,0.00844,360.8444384489253,2.0,1.4260434474581047,24885.823341305193,0.0103,0.001462,0,1.142883362895419,75524.5178939927,1.2500458850669833,0.0,1.3541737898324193,2.6,0.0672,57237.39368500194,2.3,148566.6086437857,2.595621482372196,0.35208689491620965,80,0.662,80,0.0215
2029,2071,2021,1,1,45286,271460,0.268,41784,2112,195292.05798491236,0.9674513236691813,2079.261744930191,0.14281000000000002,0.04000000000000001,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9320,12600.0,157.5,0,0.0,0,0,0,0.03622444071974084,0.5,176711.52277675242,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,508.8575263965291,937046.25,0.1676190476190476,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01595312635987042,61.1,0.65,0.00113,0.06381250543948168,3.91210447011552,36939.81469368142,68.72790258519254,0.1991,118026.08695652174,0.008636376,0.7613442444853046,2.3,0.14680026998226217,0.574297992411773,0.7789,0.022,0.2789017376059649,20,80,0.300523715653816,139037.28,20,1737.9660000000001,1.4,0.04015430486424697,0.08300751995154343,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,91050.7102081599,4731800.0,10340028.717,0.6,1268261120.0,186181074.8240062,353720230.10608715,14148.80920424349,728359815.0699068,104017.0651901334,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4590.467203399692,1011.956507663835,1392.684168112993,2.40354609929078,0.7340425531914894,1897.2798811974105,0.5964539007092199,-0.06308161457863093,1035,3389,841,198.6846721462287,-431.71460839893933,4990.249505686663,12803.994829450716,232104.6281714727,22814900.0,0.9999995794559028,0.8209044299234103,0.0284,0.0145,0.00844,383.90092992681554,2.0,1.4291589802345548,26475.926201849346,0.0103,0.001462,0,1.1790955700765897,75711.42925198429,1.3134172476340322,0.0,1.3666359209382193,2.6,0.0672,60894.630264253494,2.3,153653.26384951494,2.523264583145237,0.3583179604691097,80,0.662,80,0.0215
2030,2071,2021,1,1,45525,283992,0.268,41572,1901,192984.1262061544,0.967835978965641,2218.4276122140877,0.14281000000000002,0.04,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9360,12600.0,157.5,0,0.0,0,0,0,0.03622917918986567,0.5,168573.24515519786,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,515.9238647488867,937046.25,0.15087301587301588,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.015973982844932837,61.1,0.65,0.00113,0.06389593137973135,3.91210447011552,33230.70931114263,71.22684828733061,0.1991,123474.78260869566,0.008562427,0.7038940955573315,2.3,0.12623258962854525,0.49383507816009,0.7789,0.022,0.3799323322113648,20,80,0.29899894474345295,139037.28,20,1737.9660000000001,1.4,0.03908359673773221,0.0798197923224742,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,96881.05605095651,4731800.0,10340028.717,0.6,1326810624.0,167486741.01418605,504098254.77913624,20163.93019116545,655225628.2066778,93572.77196419566,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4756.795314497134,1052.3705656942534,1443.1333732021235,2.40354609929078,0.7340425531914894,1966.0077837826032,0.5964539007092199,-0.061170889942349815,1035,3389,841,209.31215355828846,-445.4451855295184,5148.963166067012,12712.911414303686,239486.6588868378,22814900.0,0.9999995921940671,0.7899408986191668,0.0284,0.0145,0.00844,408.4836617443645,2.0,1.4324796969366216,28171.287016852722,0.0103,0.001462,0,1.2134121351744442,75910.11392413052,1.3667651689680556,0.0,1.3799187877464867,2.6,0.0672,64793.96013876126,2.3,158540.16818308664,2.4468355976939926,0.36495939387324333,80,0.662,80,0.0215
